"HS2","HS2 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Animal Products",1,2515142,2013
"Meat & edible offal",102,"Animal Products",1,6922278,2013
"Fish, crustaceans, & molluscs",103,"Animal Products",1,26824851,2013
"Edible products of animal origin, n.e.s.",104,"Animal Products",1,43858125,2013
"Animal originated products, n.e.s.",105,"Animal Products",1,3777080,2013
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Vegetable Products",2,8377693,2013
"Edible vegetables, roots, & tubers",207,"Vegetable Products",2,75974050,2013
"Edible fruits, nuts & fruit peels",208,"Vegetable Products",2,26559317,2013
"Coffee, tea, mate & spices",209,"Vegetable Products",2,121488750,2013
"Cereals",210,"Vegetable Products",2,598909215,2013
"Products of the milling industry",211,"Vegetable Products",2,54420296,2013
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Vegetable Products",2,44213664,2013
"Natural gums, resins & other vegetable extracts",213,"Vegetable Products",2,3397214,2013
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Products",2,352545,2013
"Animal or vegetable fats, oils, & waxes",315,"Animal and Vegetable Bi-Products",3,489762913,2013
"Preparations of fish, crustacenas, & molluscs",416,"Foodstuffs",4,10682848,2013
"Sugars & confectioneries",417,"Foodstuffs",4,249939905,2013
"Cocoa & cocoa preparations",418,"Foodstuffs",4,15418744,2013
"Preparations of cereals, flour, starch or milk",419,"Foodstuffs",4,80740392,2013
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Foodstuffs",4,28940830,2013
"Miscellaneous edible preparations",421,"Foodstuffs",4,73437857,2013
"Beverages, spirits, & vinegar",422,"Foodstuffs",4,77817273,2013
"Food residues & wastes; animal fodder",423,"Foodstuffs",4,43072603,2013
"Tobacco & substitutes",424,"Foodstuffs",4,95828351,2013
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mineral Products",5,124227812.99999999,2013
"Ores, slag and ash",526,"Mineral Products",5,4783991,2013
"Mineral fuels, mineral oils and products of their distillation",527,"Mineral Products",5,3932376897,2013
"Inorganic chemicals",628,"Chemical Products",6,133293690,2013
"Organic chemicals",629,"Chemical Products",6,181446777,2013
"Pharmaceutical products",630,"Chemical Products",6,497496586,2013
"Fertilizers",631,"Chemical Products",6,330205578,2013
"Paints, dyes, & varnishes",632,"Chemical Products",6,94318457,2013
"Perfumery & cosmetics",633,"Chemical Products",6,115839874,2013
"Soap, cleaners, candles, dental, modelling pastes",634,"Chemical Products",6,85154657,2013
"Glues, starches, & albuminoid products",635,"Chemical Products",6,21262094,2013
"Explosives, matches, & fireworks",636,"Chemical Products",6,12108281,2013
"Photo & movie goods",637,"Chemical Products",6,12239030,2013
"Chemical products n.e.s.",638,"Chemical Products",6,262335366,2013
"Plastics & articles thereof",739,"Plastics and Rubbers",7,829855369,2013
"Rubber & articles thereof",740,"Plastics and Rubbers",7,249655872,2013
"Raw hides & skin (non-fur)",841,"Animal Hides",8,11167424,2013
"Leather articles",842,"Animal Hides",8,44524399,2013
"Furskins, articifial fur, & articles",843,"Animal Hides",8,31614,2013
"Wood, wood articles, & charcoal",944,"Wood Products",9,58598197,2013
"Cork & cork articles",945,"Wood Products",9,79982,2013
"Straw & esparto manufactures",946,"Wood Products",9,902041,2013
"Wood pulp & paper scrap",1047,"Paper Goods",10,1097899,2013
"Paper articles",1048,"Paper Goods",10,415614696,2013
"Books, newspapers, & other prints",1049,"Paper Goods",10,54227639,2013
"Silk",1150,"Textiles",11,283423,2013
"Wool & animal hair",1151,"Textiles",11,567955,2013
"Cotton",1152,"Textiles",11,118693103,2013
"Vegetable textile fibers, paper yarn & fabrics",1153,"Textiles",11,5236915,2013
"Man-made filaments",1154,"Textiles",11,125856410,2013
"Man-made staple fibres",1155,"Textiles",11,175802080,2013
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Textiles",11,20426263,2013
"Carpets & textile floor covers",1157,"Textiles",11,14231076,2013
"Special woven fabrics and tapestries",1158,"Textiles",11,16587845,2013
"Coated, covered, & laminated fabrics for industrial use",1159,"Textiles",11,23104064,2013
"Knitted fabrics",1160,"Textiles",11,103416028,2013
"Knitted clothing accesories",1161,"Textiles",11,108794607,2013
"Non-knitted clothing accesories",1162,"Textiles",11,69199979,2013
"Used clothes & textile articles",1163,"Textiles",11,219092849,2013
"Footwear",1264,"Footwear and Headwear",12,119180455,2013
"Headgear",1265,"Footwear and Headwear",12,7138101,2013
"Umbrellas, walking sticks, & whips",1266,"Footwear and Headwear",12,6871315,2013
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,"Footwear and Headwear",12,12157761,2013
"Stone, plaster, cement, asbestos, mica.",1368,"Stone And Glass",13,34607050,2013
"Ceramic products",1369,"Stone And Glass",13,101194638,2013
"Glass & glassware",1370,"Stone And Glass",13,99013070,2013
"Precious stones, metals, & pearls",1471,"Precious Metals",14,5945427,2013
"Iron & steel",1572,"Metals",15,912823969,2013
"Iron or steel articles",1573,"Metals",15,451367667,2013
"Copper articles",1574,"Metals",15,57399105,2013
"Nickel articles",1575,"Metals",15,2133201,2013
"Aluminum articles",1576,"Metals",15,173889746,2013
"Lead articles",1578,"Metals",15,3307901,2013
"Zinc articles",1579,"Metals",15,43885980,2013
"Tin articles",1580,"Metals",15,615730,2013
"Cermet articles",1581,"Metals",15,536952,2013
"Tools & cutlery",1582,"Metals",15,72600205,2013
"Miscellaneous metal products",1583,"Metals",15,73780875,2013
