Reporting areas,  Total_cases,Total_death,Jan_case,Jan_death,Feb_case,Feb_death,Mar_case,Mar_death,April_case,April_death,May_case,May_death,June_case,June_death,July_case,July_death,Aug_case,Aug_death,Sep_case,Sep_death,Oct_case,Oct_death,Nov_case,Nov_death,Dec_case,Dec_death
Zone: 9,2233,2,122,0,138,1,162,0,217,0,337,0,347,0,288,0,235,1,153,0,126,0,73,0,35,0
Chanthaburi,386,0,16,0,10,0,18,0,34,0,65,0,55,0,47,0,40,0,30,0,32,0,21,0,18,0
Chon Buri,925,1,70,0,92,1,102,0,102,0,135,0,113,0,95,0,108,0,62,0,30,0,13,0,3,0
Rayong,846,0,36,0,35,0,38,0,79,0,122,0,160,0,130,0,79,0,54,0,61,0,38,0,14,0
Trat,76,1,0,0,1,0,4,0,2,0,15,0,19,0,16,0,8,1,7,0,3,0,1,0,0,0
North-Eastern Region,12364,4,513,0,501,0,814,0,1147,1,1885,1,2320,2,1983,0,1299,0,792,0,602,0,379,0,129,0
Zone: 10,958,1,46,0,47,0,44,0,81,0,165,1,140,0,187,0,99,0,48,0,46,0,50,0,5,0
Loei,149,0,5,0,3,0,3,0,16,0,27,0,35,0,36,0,12,0,7,0,2,0,2,0,1,0
Nong Bua Lam Phu,101,0,7,0,9,0,7,0,11,0,27,0,15,0,10,0,6,0,3,0,2,0,2,0,2,0
Nong Khai,253,0,4,0,10,0,5,0,9,0,39,0,29,0,43,0,35,0,23,0,19,0,35,0,2,0
Udon Thani,455,1,30,0,25,0,29,0,45,0,72,1,61,0,98,0,46,0,15,0,23,0,11,0,0,0
Zone: 11,1358,1,40,0,42,0,62,0,133,0,165,0,256,1,260,0,167,0,111,0,76,0,34,0,12,0
Kalasin,238,0,27,0,28,0,25,0,7,0,20,0,32,0,31,0,30,0,12,0,15,0,7,0,4,0
Mukdahan,171,0,2,0,2,0,3,0,41,0,21,0,25,0,21,0,14,0,17,0,14,0,10,0,1,0
Nakhon Phanom,564,1,2,0,6,0,15,0,45,0,84,0,113,1,113,0,86,0,55,0,33,0,8,0,4,0
Sakon Nakhon,385,0,9,0,6,0,19,0,40,0,40,0,86,0,95,0,37,0,27,0,14,0,9,0,3,0
Zone: 12,1899,0,147,0,79,0,132,0,146,0,214,0,286,0,274,0,222,0,166,0,131,0,65,0,37,0
Khon Kaen,638,0,61,0,35,0,34,0,52,0,74,0,83,0,79,0,90,0,55,0,40,0,25,0,10,0
Maha Sarakham,359,0,22,0,16,0,53,0,38,0,53,0,63,0,31,0,31,0,29,0,19,0,3,0,1,0
Roi Et,902,0,64,0,28,0,45,0,56,0,87,0,140,0,164,0,101,0,82,0,72,0,37,0,26,0
Zone: 13,4018,2,181,0,180,0,229,0,338,1,497,0,680,1,589,0,472,0,324,0,283,0,201,0,44,0
Buri Ram,1222,1,53,0,59,0,107,0,124,0,126,0,177,1,151,0,111,0,108,0,113,0,79,0,14,0
Chaiyaphum,414,0,24,0,28,0,25,0,37,0,50,0,77,0,62,0,49,0,28,0,20,0,10,0,4,0
Nakhon Ratchasima,1330,0,85,0,58,0,64,0,98,0,141,0,217,0,218,0,187,0,94,0,79,0,74,0,15,0
Surin,1052,1,19,0,35,0,33,0,79,1,180,0,209,0,158,0,125,0,94,0,71,0,38,0,11,0
Zone: 14,4131,0,99,0,153,0,347,0,449,0,844,0,958,0,673,0,339,0,143,0,66,0,29,0,31,0
Amnat Charoen,371,0,6,0,3,0,22,0,45,0,63,0,116,0,58,0,18,0,22,0,12,0,1,0,5,0
Si Sa Ket,1161,0,29,0,38,0,65,0,121,0,241,0,235,0,253,0,98,0,43,0,17,0,10,0,11,0
Ubon Ratchathani,2333,0,51,0,90,0,233,0,251,0,480,0,573,0,320,0,197,0,74,0,34,0,17,0,13,0
Yasothon,266,0,13,0,22,0,27,0,32,0,60,0,34,0,42,0,26,0,4,0,3,0,1,0,2,0
South Region,5303,2,757,0,406,0,318,0,236,0,380,0,608,0,614,1,616,0,440,0,399,0,342,0,187,1
Zone: 15,952,1,143,0,60,0,85,0,63,0,98,0,122,0,111,1,92,0,35,0,68,0,55,0,20,0
Chumphon,306,0,18,0,11,0,17,0,16,0,34,0,46,0,48,0,34,0,14,0,33,0,30,0,5,0
Ranong,76,0,8,0,3,0,6,0,5,0,11,0,11,0,13,0,10,0,3,0,4,0,0,0,2,0
Surat Thani,570,1,117,0,46,0,62,0,42,0,53,0,65,0,50,1,48,0,18,0,31,0,25,0,13,0
Zone: 16,1011,0,155,0,82,0,67,0,46,0,86,0,125,0,118,0,106,0,59,0,67,0,67,0,33,0
Nakhon Si Thammarat,680,0,110,0,48,0,58,0,36,0,61,0,78,0,85,0,71,0,32,0,43,0,38,0,20,0
Phatthalung,157,0,18,0,20,0,4,0,5,0,9,0,24,0,12,0,16,0,13,0,12,0,16,0,8,0
Trang,174,0,27,0,14,0,5,0,5,0,16,0,23,0,21,0,19,0,14,0,12,0,13,0,5,0
Zone: 17,423,0,51,0,27,0,20,0,27,0,36,0,64,0,39,0,41,0,40,0,38,0,22,0,18,0
Krabi,166,0,16,0,12,0,4,0,11,0,9,0,20,0,14,0,25,0,19,0,14,0,10,0,12,0
Phangnga,115,0,7,0,8,0,5,0,10,0,11,0,24,0,12,0,9,0,6,0,14,0,7,0,2,0
Phuket,142,0,28,0,7,0,11,0,6,0,16,0,20,0,13,0,7,0,15,0,10,0,5,0,4,0
Zone: 18,1514,0,239,0,121,0,72,0,44,0,74,0,134,0,168,0,217,0,175,0,108,0,99,0,63,0
Narathiwat,631,0,61,0,42,0,30,0,19,0,23,0,33,0,63,0,121,0,95,0,62,0,47,0,35,0
Pattani,538,0,119,0,57,0,26,0,17,0,26,0,61,0,78,0,58,0,44,0,24,0,21,0,7,0
Yala,345,0,59,0,22,0,16,0,8,0,25,0,40,0,27,0,38,0,36,0,22,0,31,0,21,0
Zone: 19,1403,1,169,0,116,0,74,0,56,0,86,0,163,0,178,0,160,0,131,0,118,0,99,0,53,1
Satun,56,0,2,0,4,0,2,0,2,0,5,0,16,0,10,0,7,0,3,0,0,0,5,0,0,0
Songkhla,1347,1,167,0,112,0,72,0,54,0,81,0,147,0,168,0,153,0,128,0,118,0,94,0,53,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
