Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
764--Telecommunications Equipment,514428,2010808,1161617,470332,1889585,1051112,3431504,1343108,1045323,2701060,1009257,21367330,1104442,254302,112142
662--Clay And Refractory Construction Materials,0,20718,0,0,0,0,24138,0,0,0,0,0,0,0,111511
882--Photographic And Cinematographic Supplies,0,3420,11600,77140,16577,18644,0,0,9817,2520,0,102059,0,390405,106044
741--Heating & Cooling Equipment,21123,46383,0,4284,591050,16052,0,31063,0,17500,5114,0,53344,269287,104888
746--Ball Or Roller Bearings,0,0,0,0,9420,234590,11389,0,0,18715,0,0,0,0,93637
582--Plates; Sheets; Film; Foil & Strip Of Plastics,20590,73741,0,16494,9666,42190,769,335,0,10537,0,8048,0,4289,85033
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,0,0,2774,3364,0,77592,0,0,0,0,0,0,0,0,80000
728--Machinery Specialized For Particular Industries,10000,5124,0,118882,33978,112503,74447,469969,571768,225925,134303,206658,178303,65615,78396
054--Vegetables; Roots and Tubers; Fresh; Chilled or F,74766,9700,7186,21509,48641,21215,2848,16581,4576,47762,54944,723438,77459,95056,76016
774--Electro-Diagnostic Apparatus,0,25958,31725,8639,454624,25700,113100,59356,0,98000,0,48697,88822,61729,70918
743--Pumps; Air Or Other Gas Compressors And Fans,14140,2328,50670,63442,120645,5440,41334,248241,15750,81711,61287,202562,13583,19465,69225
884--Optical Goods,176132,78898,32052,13953,58391,73144,11975,35888,0,6250,123907,14800,2770,0,67823
872--Medical Instruments & Appliances,0,0,25956,37380,107740,31112,194078,221604,101036,0,0,21825,103500,15000,66194
713--Internal Combustion Piston Engines,0,3475,45661,411115,45000,36500,0,0,37640,30000,25600,3000,16000,35402,65216
778--Electrical Machinery And Apparatus,239522,54811,31175,219993,226994,90131,145973,72735,114890,342461,64970,161322,224223,23150,58591
846--Clothing Accessories,36242,82056,609734,172245,56299,229113,58831,25760,98312,126481,70889,167354,164011,202512,53088
514--Nitrogen-Function Compounds,0,17237,25865,32680,0,0,0,26020,0,0,0,0,0,0,50536
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,169725,142420,157250,52944,86289,181401,112327,46728,53640,4295,74495,157709,4300,21948,48092
652--Cotton Fabrics; Woven,35620,26435,17881,5668,9892,59073,29622,400,98112,201350,6521,2916,2774,27103,45834
