,Country Name,Country Code,Year,GDP growth (annual %),Trade (% of GDP)
20,Eritrea,ERI,2021,,
31,Ethiopia,ETH,2021,5.641530717,24.29896725
42,Kenya,KEN,2021,7.590489473,30.68928192
53,Madagascar,MDG,2021,5.739615739,54.45704159
64,Mauritius,MUS,2021,3.403798672,98.00002924
75,Seychelles,SYC,2021,5.426822752,235.8201936
86,Somalia,SOM,2021,3.307620952,82.0839191
97,South Sudan,SSD,2021,,
108,Sudan,SDN,2021,-1.868520483,4.127548638
119,Tanzania,TZA,2021,4.321384295,29.91518401
130,Uganda,UGA,2021,3.536580341,41.71363074
10,Comoros,COM,2022,2.387678485,47.78172661
21,Eritrea,ERI,2022,,
32,Ethiopia,ETH,2022,5.31709603,26.56683564
43,Kenya,KEN,2022,4.846634856,33.72955056
54,Madagascar,MDG,2022,3.796199089,69.60467198
65,Mauritius,MUS,2022,8.880584908,119.4416818
76,Seychelles,SYC,2022,9.000307367,233.0699388
87,Somalia,SOM,2022,2.433092486,95.83957495
98,South Sudan,SSD,2022,,
109,Sudan,SDN,2022,-0.95340703,2.698834054
120,Tanzania,TZA,2022,4.558027339,35.02085946
131,Uganda,UGA,2022,4.588021922,34.50530193
