HS2,HS2 ID,Section,Section ID,Trade Value,Year
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Vegetable Products,2,555919450,2013
"Edible vegetables, roots, & tubers",207,Vegetable Products,2,239288422,2013
"Edible fruits, nuts & fruit peels",208,Vegetable Products,2,92293262,2013
"Coffee, tea, mate & spices",209,Vegetable Products,2,1430707146,2013
Cereals,210,Vegetable Products,2,18600665,2013
Products of the milling industry,211,Vegetable Products,2,7959881,2013
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Vegetable Products,2,30966869,2013
"Natural gums, resins & other vegetable extracts",213,Vegetable Products,2,3914014,2013
"Vegetable plaiting materials & products, n.e.s.",214,Vegetable Products,2,38090436,2013
"Animal or vegetable fats, oils, & waxes",315,Animal and Vegetable Bi-Products,3,125003582,2013
"Preparations of fish, crustacenas, & molluscs",416,Foodstuffs,4,14215902,2013
Sugars & confectioneries,417,Foodstuffs,4,62857314,2013
Cocoa & cocoa preparations,418,Foodstuffs,4,6486578,2013
"Preparations of cereals, flour, starch or milk",419,Foodstuffs,4,9733899,2013
"Preparations of vegetables, fruit, nuts or other plant parts",420,Foodstuffs,4,158986377,2013
Miscellaneous edible preparations,421,Foodstuffs,4,40270953,2013
"Beverages, spirits, & vinegar",422,Foodstuffs,4,88947841,2013
Food residues & wastes; animal fodder,423,Foodstuffs,4,13068079,2013
Tobacco & substitutes,424,Foodstuffs,4,175707641,2013
"Salt, sulphur, cement, lime, stone, & plaster",525,Mineral Products,5,166075355,2013
"Ores, slag and ash",526,Mineral Products,5,10722638,2013
"Mineral fuels, mineral oils and products of their distillation",527,Mineral Products,5,362765179,2013
Inorganic chemicals,628,Chemical Products,6,177078814,2013
Organic chemicals,629,Chemical Products,6,10879368,2013
Pharmaceutical products,630,Chemical Products,6,86612301,2013
Fertilizers,631,Chemical Products,6,20348931,2013
"Paints, dyes, & varnishes",632,Chemical Products,6,23992640,2013
Perfumery & cosmetics,633,Chemical Products,6,23676198,2013
"Soap, cleaners, candles, dental, modelling pastes",634,Chemical Products,6,114605635,2013
"Glues, starches, & albuminoid products",635,Chemical Products,6,5452054,2013
"Explosives, matches, & fireworks",636,Chemical Products,6,1365740,2013
Photo & movie goods,637,Chemical Products,6,428233,2013
Chemical products n.e.s.,638,Chemical Products,6,16393569,2013
Plastics & articles thereof,739,Plastics and Rubbers,7,171914007,2013
Rubber & articles thereof,740,Plastics and Rubbers,7,41624390,2013
Raw hides & skin (non-fur),841,Animal Hides,8,109193340,2013
Leather articles,842,Animal Hides,8,2901788,2013
"Furskins, articifial fur, & articles",843,Animal Hides,8,125557,2013
"Wood, wood articles, & charcoal",944,Wood Products,9,39717751,2013
Cork & cork articles,945,Wood Products,9,13997,2013
Straw & esparto manufactures,946,Wood Products,9,1443510,2013
Wood pulp & paper scrap,1047,Paper Goods,10,1954753,2013
Paper articles,1048,Paper Goods,10,83023876,2013
"Books, newspapers, & other prints",1049,Paper Goods,10,34823865,2013
Silk,1150,Textiles,11,15462,2013
Wool & animal hair,1151,Textiles,11,6181317,2013
Cotton,1152,Textiles,11,6957029,2013
"Vegetable textile fibers, paper yarn & fabrics",1153,Textiles,11,39041871,2013
Man-made filaments,1154,Textiles,11,1579849,2013
Man-made staple fibres,1155,Textiles,11,10326606,2013
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,Textiles,11,4374895,2013
Carpets & textile floor covers,1157,Textiles,11,208631,2013
Special woven fabrics and tapestries,1158,Textiles,11,1573230,2013
"Coated, covered, & laminated fabrics for industrial use",1159,Textiles,11,526458,2013
Knitted fabrics,1160,Textiles,11,510115,2013
Knitted clothing accesories,1161,Textiles,11,155903410,2013
Non-knitted clothing accesories,1162,Textiles,11,147393043,2013
Used clothes & textile articles,1163,Textiles,11,39192248,2013
Footwear,1264,Footwear and Headwear,12,47352058,2013
Headgear,1265,Footwear and Headwear,12,799181,2013
"Umbrellas, walking sticks, & whips",1266,Footwear and Headwear,12,293009,2013
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,Footwear and Headwear,12,12532022,2013
"Stone, plaster, cement, asbestos, mica.",1368,Stone And Glass,13,4361372,2013
Ceramic products,1369,Stone And Glass,13,7108914,2013
Glass & glassware,1370,Stone And Glass,13,26876262,2013
"Precious stones, metals, & pearls",1471,Precious Metals,14,240704637,2013
Iron & steel,1572,Metals,15,155156248,2013
Iron or steel articles,1573,Metals,15,70045742,2013
Copper articles,1574,Metals,15,24812924,2013
Nickel articles,1575,Metals,15,11556,2013
Aluminum articles,1576,Metals,15,58076274,2013
Lead articles,1578,Metals,15,1296323,2013
Zinc articles,1579,Metals,15,1856245,2013
Tin articles,1580,Metals,15,456067,2013
Cermet articles,1581,Metals,15,739427,2013
Tools & cutlery,1582,Metals,15,8081321,2013
Miscellaneous metal products,1583,Metals,15,16797309,2013
"Machinery, mechanical appliances, & parts",1684,Machines,16,116632102,2013
Electrical machinery and electronics,1685,Machines,16,100751738,2013
Railway and trams,1786,Transportation,17,683759,2013
"Cars, tractors, trucks & parts thereof.",1787,Transportation,17,86375681,2013
Aircraft and spacecraft,1788,Transportation,17,14697956,2013
"Ships, boats, & floating structures",1789,Transportation,17,2363915,2013
"Optical, photo, & film equipment; medical instruments",1890,Instruments,18,28600179,2013
"Clocks, watches, & parts",1891,Instruments,18,181093,2013
Musical instruments,1892,Instruments,18,54390,2013
Weapons,1993,Weapons,19,1971933,2013
"Furniture, bedding, lamps, & prefab buildings",2094,Miscellaneous,20,35642435,2013
"Toys, games, & sports",2095,Miscellaneous,20,13639731,2013
Misc. manufactures,2096,Miscellaneous,20,13544111,2013
Art & antiques,2197,Arts and Antiques,21,1821453,2013
Live animals,101,Animal Products,1,6920564,2014
Meat & edible offal,102,Animal Products,1,28387463,2014
"Fish, crustaceans, & molluscs",103,Animal Products,1,85016043,2014
"Edible products of animal origin, n.e.s.",104,Animal Products,1,13473994,2014
"Animal originated products, n.e.s.",105,Animal Products,1,1075554,2014
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Vegetable Products,2,799497488,2014
"Edible vegetables, roots, & tubers",207,Vegetable Products,2,291191811,2014
"Edible fruits, nuts & fruit peels",208,Vegetable Products,2,150918177,2014
"Coffee, tea, mate & spices",209,Vegetable Products,2,1279055600,2014
Cereals,210,Vegetable Products,2,9249214,2014
Products of the milling industry,211,Vegetable Products,2,3280339,2014
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Vegetable Products,2,41127280,2014
"Natural gums, resins & other vegetable extracts",213,Vegetable Products,2,3686611,2014
"Vegetable plaiting materials & products, n.e.s.",214,Vegetable Products,2,191984,2014
"Animal or vegetable fats, oils, & waxes",315,Animal and Vegetable Bi-Products,3,75124494,2014
"Preparations of fish, crustacenas, & molluscs",416,Foodstuffs,4,36848934,2014
Sugars & confectioneries,417,Foodstuffs,4,40159255,2014
Cocoa & cocoa preparations,418,Foodstuffs,4,3762572,2014
